doi,title,url,category,pubDate
,A surface-engineered mycelial biofilm incorporating a self-cascading nanozyme for mycotoxin degradation in edible oils,https://www.sciencedirect.com/science/article/pii/S138589472604982X?dgcid=rss_sd_all,indoor,2026-05-25T12:23:45Z
,Co-occurrence of mycotoxins contamination and risk assessment of dietary intake in maize (Zea mays L) from Nigeria,https://www.sciencedirect.com/science/article/pii/S095671352600246X?dgcid=rss_sd_all,health,2026-05-25T12:23:38Z
,Antifungal exposure variability in critically ill patients: Extending risk-based frameworks in invasive mould infections,https://www.sciencedirect.com/science/article/pii/S0163445326000423?dgcid=rss_sd_all,clinical,2026-05-04T11:02:00Z
,"Aflatoxin M1 contamination in milk samples from households in Lahore, Pakistan: Occurrence, exposure and risk characterization",https://www.sciencedirect.com/science/article/pii/S0956713526001842?dgcid=rss_sd_all,health,2026-05-04T11:01:30Z
10.1021/acs.jafc.6c01992?af=R,Enhancing Heme Production in Aspergillus niger through Metabolic Engineering for the Development of Functional Fungal Meat Analogue,https://pubs.acs.org/doi/10.1021/acs.jafc.6c01992?af=R,health,2026-04-29T07:00:00Z
,Aflatoxin B1 in maize: A cross-country analysis of occurrence and dietary exposure,https://www.sciencedirect.com/science/article/pii/S0956713526001830?dgcid=rss_sd_all,health,2026-04-20T10:31:31Z
,Advanced applications of electronic nose technology in grain storage and cereal product quality: A comprehensive review of freshness monitoring and mycotoxin detection – A review,https://www.sciencedirect.com/science/article/pii/S0956713526001386?dgcid=rss_sd_all,health,2026-04-13T10:29:22Z
,Energy efficiency in chemo-mechanical pretreatment of oil palm biomass: Sequence analysis and process optimization for enhanced bioethanol production,https://www.sciencedirect.com/science/article/pii/S0961953426002783?dgcid=rss_sd_all,indoor,2026-03-18T21:39:50Z
,Russia’s relentless interference since start of Ukraine war has failed to break Moldova,https://theconversation.com/russias-relentless-interference-since-start-of-ukraine-war-has-failed-to-break-moldova-276653,media,2026-03-13T13:57:14Z
,"CoFe Prussian blue analogue photothermal self-healing coating for resistance to corrosion, UV degradation and mold",https://www.sciencedirect.com/science/article/pii/S1385894726021509?dgcid=rss_sd_all,indoor,2026-03-05T22:26:33Z
,Recent advances of different dimensional materials for the fluorescent detection of mycotoxins,https://www.sciencedirect.com/science/article/pii/S0963996926003273?dgcid=rss_sd_all,health,2026-03-05T22:26:24Z
,Meyerozyma caribbica NJC41 degrades aflatoxin B1 into the non-toxic aflatoxin P1 and inhibits Aspergillus flavus proliferation in kiwifruit,https://www.sciencedirect.com/science/article/pii/S0963996926004576?dgcid=rss_sd_all,health,2026-03-05T22:26:24Z
,Comparative study on cold plasma technologies for mold inactivation and quality retention in white grapes,https://www.sciencedirect.com/science/article/pii/S0956713526001180?dgcid=rss_sd_all,health,2026-03-02T09:43:24Z
,"What is Aspergillus, the fungus behind recent hospital deaths?",https://theconversation.com/what-is-aspergillus-the-fungus-behind-recent-hospital-deaths-277067,media,2026-02-27T04:33:08Z
,Rapid and simultaneous detection of Aspergillus and aflatoxin B1 content in maize using data fusion and explainable analysis,https://www.sciencedirect.com/science/article/pii/S0956713526000320?dgcid=rss_sd_all,health,2026-02-26T13:59:21Z
,Mechanistic elucidation of aflatoxin B1 degradation in corn and peanuts via nonthermal plasma: Reactive species and kinetic insights,https://www.sciencedirect.com/science/article/pii/S0956713526000666?dgcid=rss_sd_all,health,2026-02-26T13:59:21Z
,Efficient removal of aflatoxin B1 from soybean kernels by a coupled ultrasound–ozone process: A mechanistic study,https://www.sciencedirect.com/science/article/pii/S0956713526000332?dgcid=rss_sd_all,health,2026-02-26T13:59:21Z
,"CRISPR/Cas9-mediated gene editing in filamentous fungi, focusing on mushrooms and plant-pathogenic fungi",https://www.sciencedirect.com/science/article/pii/S1749461325000363?dgcid=rss_sd_all,science,2026-02-18T11:22:35Z
,Antifungal efficacy and fumigation potential of octanal and (E)-2-octenal against Aspergillus flavus in stored peanut seeds,https://www.sciencedirect.com/science/article/pii/S0956713525008060?dgcid=rss_sd_all,health,2026-02-17T13:21:38Z
,Adhesive and redox modulatory nanopesticides with pathogenic microenvironment-regulated multi-enzymatic activities for synergistic control of ginseng gray mold,https://www.sciencedirect.com/science/article/pii/S1385894726015032?dgcid=rss_sd_all,indoor,2026-02-16T09:47:37Z
10.1007/s12550-025-00629-7,From climate change to analytical advances on mycotoxin research: key insights from the 46th Mycotoxin Workshop,https://link.springer.com/article/10.1007/s12550-025-00629-7,health,2025-12-23T00:00:00Z
